u,v,r,x_ENU,y_ENU,psi,delta,n_P,n_S,rpm
-0.696434028227091,-0.387795696913945,-0.282743338822696,-0.772984062797788,0.884737134470965,4.79162692842523,0.624217006975772,37,35.9833333333333,2189.5
-0.673974479376707,-0.186645812121398,-0.280998009571343,-0.772984064516728,0.995329276871959,4.76352712746812,0.614879495477602,37,37,2220
-0.668536086710495,-0.205274834471533,-0.277507351066729,-0.883410361689748,1.10592141754077,4.73577639236141,0.62168627956038,37,37,2220
-0.662621926791927,-0.223630138930943,-0.275762021815347,-0.883410361689748,1.10592141754077,4.7082001901799,0.623257075887175,37,35.9833333333333,2189.5
-0.656288280250374,-0.241586322918999,-0.272271363311364,-0.883410363253179,1.21651355978392,4.68097305384879,0.618981019219789,37,37,2220
-0.44160813288242,-0.025926988616379,-0.272271363310745,-0.883410363253179,1.21651355978392,4.65374591751768,0.635648913576335,35.9833333333333,37,2189.5
-0.661107939927552,-0.0569094277531543,-0.272271363311364,-0.883410365314343,1.32710570256524,4.62651878118657,0.618021088131192,37,35.9833333333333,2189.5
-0.634440352121164,-0.294217095995628,-0.270526034058753,-0.883410365314343,1.32710570256524,4.59946617778066,0.620639082009184,37,37,2220
-0.626195506678287,-0.311379908462112,-0.272271363311355,-0.883410367151553,1.43769784497408,4.57223904144955,0.62168627956038,35.9833333333333,37,2189.5
-0.617543771384491,-0.328204127922939,-0.270526034059368,-0.993836665730708,1.54828998558209,4.54518643804363,0.623169809424575,37,35.9833333333333,2189.5
-0.608440119342993,-0.344788167333369,-0.270526034058753,-0.993836665730708,1.54828998558209,4.51813383463772,0.619068285682389,37,37,2220
-0.598954229880338,-0.361015359452849,-0.268780704807381,-0.99383666820254,1.6588821279191,4.49125576415701,0.623257075887175,35.9833333333333,37,2189.5
-0.643306625847071,-0.162662153135871,-0.265290046302769,-0.99383666820254,1.6588821279191,4.46472675952669,0.615403094253201,37,35.9833333333333,2189.5
-0.638734136576009,-0.179780682210395,-0.267035375555376,-0.993836670021131,1.76947427036841,4.43802322197118,0.622209878335978,37,37,2220
-0.633774854563031,-0.196549803158923,-0.263544717051385,-0.993836672269009,1.88006641291032,4.41166875026607,0.623693408200174,35.9833333333333,37,2189.5
-0.628375403930574,-0.21318241750033,-0.263544717050786,-0.993836672269009,1.88006641291032,4.38531427856095,0.618021088131192,37,35.9833333333333,2189.5
-0.622499440965206,-0.229775623554149,-0.265290046303372,-0.993836674292934,1.99065855542616,4.35878527393064,0.62474060575137,37,37,2220
-0.698131366875581,-0.041120005265469,-0.265290046302786,-0.993836674292934,1.99065855542616,4.33225626930032,0.622209878335978,35.9833333333333,37,2189.5
-0.696794968158178,-0.0596240941252817,-0.265290046303381,-0.993836676453748,2.1012506977939,4.30572726467001,0.638703239767325,37,35.9833333333333,2189.5
-0.694981819991032,-0.0779649263927215,-0.263544717051376,-0.883410381082486,2.21184284256931,4.2793727929649,0.620115483233585,37,37,2220
-0.692669185079051,-0.0963725059608328,-0.265290046302777,-0.883410381082486,2.21184284256931,4.25284378833458,0.62168627956038,35.9833333333333,37,2189.5
-0.689869086528991,-0.114712263690521,-0.265290046303381,-0.883410383019346,2.322434984911,4.22631478370427,0.636172512351933,37,35.9833333333333,2189.5
-0.385511255432358,-0.216958574884085,-0.265290046302777,-0.883410383019346,2.322434984911,4.19978577907396,0.623257075887175,37,37,2220
-0.569430876554554,-0.340662394411212,-0.265290046303372,-0.883410385161541,2.43302712731921,4.17325677444364,0.620639082009184,35.9833333333333,37,2189.5
-0.49183404273993,-0.0506467681021217,-0.265290046303381,-0.883410385161541,2.43302712731921,4.14672776981333,0.620115483233585,37,35.9833333333333,2189.5
-0.673838582089232,-0.187135848912528,-0.265290046302786,-0.883410387011336,2.54361926960221,4.12019876518301,0.623257075887175,37,37,2220
-0.668637531261159,-0.204944169989245,-0.265290046303372,-0.772984088328285,2.54361927146853,4.0936697605527,0.617497489355594,35.9833333333333,37,2189.5
-0.663004770756154,-0.222492550383035,-0.263544717050786,-0.772984090246525,2.65421141419711,4.06731528884759,0.623257075887175,37,35.9833333333333,2189.5
